"","fold0","fold1","fold2"
"CHEMBL2363336",0.7619048,0.6926407,0.6477273
"CHEMBL3111195",0.8103448,0.6386555,0.5
"CHEMBL2363278",0.6208333,0.6940789,0.5507812
"CHEMBL2363351",0.4882353,0.5625,0.3872549
"CHEMBL2363391",0.6639676,0.7727273,0.6470588
"CHEMBL2363326",0.7291667,0.65,0.5551471
"CHEMBL2363328",0.6888889,0.6388889,0.7361111
"CHEMBL2363330",0.4494949,0.6313131,0.53125
"CHEMBL2363364",0.7025862,0.5636364,0.677686
"CHEMBL2363333",0.7272727,0.5994398,0.6745098
"CHEMBL2363148",0.7020202,0.6956522,0.5123967
"CHEMBL2363264",0.6904762,0.5,0.5793651
"CHEMBL2363283",0.5056818,0.6196078,0.496732
"CHEMBL2363660",0.5296296,0.5772947,0.5190476
"CHEMBL2363307",0.5568182,0.4736842,0.5512821
"CHEMBL2363247",0.6414141,0.6814815,0.6538462
"CHEMBL2363465",0.7826087,0.7083333,0.68
"CHEMBL2363225",0.6190476,0.6153846,0.7651822
"CHEMBL2363468",0.668,0.6730769,0.6220096
"CHEMBL2114826",0.553125,0.6974359,0.6666667
"CHEMBL3215266",0.2886792,0.2608696,0.1414141
"CHEMBL2363731",0.6083916,0.6618182,0.4258373
"CHEMBL1614479",0.8877551,0.9206349,0.7037037
"CHEMBL3214782",0.4411765,0.3467742,0.4814815
"CHEMBL1614273",0.6277778,0.5806897,0.5490196
"CHEMBL1794400",0.5740741,0.61,0.6577381
"CHEMBL2363728",0.5336134,0.6162281,0.6125
"CHEMBL2363568",0.6375,0.5870445,0.6534091
"CHEMBL2363353",0.7782805,0.6361111,0.7327935
"CHEMBL2363230",0.4659091,0.5923077,0.4444444
"CHEMBL1670561",0.5294118,0.4653846,0.7610837
"CHEMBL1614518",0.491358,0.468599,0.5666667
"CHEMBL2363739",0.4129555,0.5204678,0.5808081
"CHEMBL2363558",0.5666667,0.4971591,0.5857143
"CHEMBL2363322",0.6863636,0.5987654,0.6942149
"CHEMBL2363753",0.6230159,0.5935673,0.5223214
"CHEMBL2363348",0.6636364,0.421875,0.5708502
"CHEMBL1614321",0.6304348,0.453202,0.4866667
"CHEMBL2363337",0.7288889,0.6194444,0.635
"CHEMBL2363228",0.6703297,0.8205128,0.7527473
"CHEMBL2363504",0.51417,0.6575,0.6470588
"CHEMBL2363664",0.6796537,0.5666667,0.4875
"CHEMBL2363269",0.4581818,0.4518717,0.4419643
"CHEMBL1613893",0.8278061,0.8757764,0.7354497
"CHEMBL1614345",0.5384615,0.5295139,0.634375
"CHEMBL2363442",0.6725146,0.562753,0.6717172
"CHEMBL2363317",0.6477733,0.625,0.6071429
"CHEMBL2363432",0.5166667,0.6755853,0.7098039
"CHEMBL1614376",0.296875,0.6818182,0.7096774
"CHEMBL2363403",0.5225564,0.457672,0.5538462
"CHEMBL1614355",0.7575758,0.7368421,0.6666667
"CHEMBL2363593",0.3383838,0.4722222,0.5080214
"CHEMBL2363414",0.4258373,0.5852941,0.59375
"CHEMBL1614226",0.6935484,0.7597403,0.7788462
"CHEMBL2363444",0.2910053,0.4563492,0.4940476
"CHEMBL1738246",1,0.5127273,0.8122605
"CHEMBL2363697",0.55,0.6923077,0.4619883
"CHEMBL2363725",0.5588235,0.55625,0.6296296
"CHEMBL2363572",0.7045455,0.7380952,0.7264957
"CHEMBL2363189",0.5131579,0.7555556,0.5648148
"CHEMBL2363799",0.7692308,0.6212121,0.6714286
"CHEMBL2363628",0.7198276,0.7460317,0.7307692
"CHEMBL2363489",0.6588235,0.4871795,0.6444444
"CHEMBL2363426",0.6857143,0.5583333,0.6483516
"CHEMBL1738575",0.7411765,0.7214286,0.6859717
"CHEMBL2363836",0.5454545,0.5263158,0.582996
"CHEMBL2363789",0.7120743,0.5124224,0.6490385
"CHEMBL2363553",0.6160991,0.5416667,0.7142857
"CHEMBL2363332",0.5089286,0.6315789,0.640625
"CHEMBL1614308",0.7125,0.6167472,0.5139319
"CHEMBL2363809",0.7333333,0.5102564,0.5151515
"CHEMBL2363207",0.7325103,0.792,0.737037
"CHEMBL2114827",0,0.5813953,0.3430233
"CHEMBL1964046",0.569697,0.6096939,0.4973545
"CHEMBL1614462",0.4816054,0.556213,0.4771242
"CHEMBL2363671",0.627193,0.564,0.5166667
"CHEMBL2363290",0.6538462,0.5363636,0.5877193
"CHEMBL2363459",0.6701389,0.6477273,0.5864198
"CHEMBL2363611",0.7714286,0.6339286,0.7738095
"CHEMBL2363743",0.6210938,0.6904762,0.6319444
"CHEMBL1613821",0.4692308,0.6388889,0.5350877
"CHEMBL2363341",0.6837607,0.6583072,0.5590909
"CHEMBL1614465",0.702381,0.6477273,0.8295455
"CHEMBL1614083",0.3913043,0.1444444,0.375
"CHEMBL2363366",0.3489583,0.4962121,0.5392857
"CHEMBL2363766",0.5178571,0.6753623,0.6666667
"CHEMBL2363464",0.7771739,0.6153846,0.6315789
"CHEMBL1963899",0.7785714,0.8152493,0.5454545
"CHEMBL3214801",0.538961,0.6071429,0.7471264
"CHEMBL1614512",0.6515152,0.5861244,0.5435897
"CHEMBL648337",0.8222222,0.8391026,0.9330357
"CHEMBL2363213",0.6333333,0.4895105,0.4733333
"CHEMBL2363556",0.7115385,0.5404412,0.6102941
"CHEMBL2363142",0.5785714,0.5769231,0.5294118
"CHEMBL2363788",0.6941176,0.7301587,0.5820312
"CHEMBL2363560",0.6353383,0.5882353,0.5490196
"CHEMBL2155446",1,1,0.9503546
"CHEMBL2363790",0.296875,0.585,0.593985
"CHEMBL2363481",0.635,0.6398601,0.5947368
"CHEMBL2114715",0.8106061,0.3651515,0.5020576
"CHEMBL2363433",0.63125,0.672619,0.68
"CHEMBL2363609",0.6029412,0.5620915,0.6346154
"CHEMBL3214965",0.5505051,0.5462963,0.6597774
"CHEMBL1169087",0.9050179,0.4635417,1
"CHEMBL3214907",0.416388,0.5307018,0.504902
"CHEMBL687330",0.9241071,0.9833333,1
"CHEMBL1614008",0.683871,0.6357895,0.7108844
"CHEMBL2363324",0.7136364,0.6166008,0.5565217
"CHEMBL2363185",0.6029412,0.5238095,0.6470588
"CHEMBL2363220",0.6545455,0.6911765,0.5551471
"CHEMBL2363555",0.5810277,0.552795,0.5770751
"CHEMBL2363437",0.5041667,0.5884354,0.7142857
"CHEMBL2363243",0.5756579,0.6895425,0.520362
"CHEMBL2363612",0.4045455,0.5166667,0.4919786
"CHEMBL2363140",0.61,0.7333333,0.6842105
"CHEMBL3215216",0.8,0.8197674,0.7705882
"CHEMBL2363239",0.6388889,0.6484848,0.671875
"CHEMBL2363434",0.7047619,0.6307692,0.6137566
"CHEMBL2114717",0.516129,0.4285714,0.6505747
"CHEMBL2363688",0.6748768,0.7239583,0.7307692
"CHEMBL2363152",0.5875,0.5444444,0.7176471
"CHEMBL1738040",0.6147186,0.4623377,0.3602251
"CHEMBL2363141",0.7276786,0.7311828,0.6883117
"CHEMBL2363803",0.675,0.6375661,0.662963
"CHEMBL2363623",0.6,0.7100592,0.6639676
"CHEMBL2363211",0.5192308,0.6626984,0.6666667
"CHEMBL2363594",0.6742424,0.6349206,0.751634
"CHEMBL2363236",0.6666667,0.6851852,0.6493506
"CHEMBL2363549",0.7102273,0.6026936,0.825
"CHEMBL2363387",0.7744108,0.6843501,0.7584541
"CHEMBL2363180",0.7323077,0.6323529,0.7434783
"CHEMBL2363577",0.6315789,0.6165414,0.5357143
"CHEMBL2363252",0.4611111,0.5261438,0.7016807
"CHEMBL2363630",0.6259259,0.7438596,0.6904762
"CHEMBL2363216",0.532872,0.6759003,0.6363636
"CHEMBL2363535",0.6220096,0.622291,0.4375
"CHEMBL2363368",0.4880952,0.6118421,0.4814815
"CHEMBL2363618",0.65,0.6842105,0.6020408
"CHEMBL2363774",0.6609195,0.5198413,0.7149758
"CHEMBL1614503",0.6111111,0.5514403,0.5151515
"CHEMBL2363389",0.6428571,0.7014493,0.5411765
"CHEMBL2363477",0.6712963,0.5524476,0.6175439
"CHEMBL2363834",0.7222222,0.6742424,0.6447368
"CHEMBL1794367",0.725,0.7176471,0.7952941
"CHEMBL2363440",0.6857143,0.7310606,0.6571429
"CHEMBL2363363",0.6208333,0.5927978,0.6208333
"CHEMBL2363369",0.5657895,0.5173611,0.5206612
"CHEMBL2363435",0.8,0.7848485,0.8235294
"CHEMBL2363223",0.4615385,0.6190476,0.6096257
"CHEMBL2363851",0.6728395,0.65625,0.6309524
"CHEMBL2363575",0.6196078,0.5512465,0.6512605
"CHEMBL2363443",0.6770833,0.7121212,0.6785714
"CHEMBL2363273",0.8263889,0.4208754,0.4703704
"CHEMBL2363655",0.474359,0.5634058,0.6363636
"CHEMBL2363242",0.5518519,0.6138889,0.525
"CHEMBL2363367",0.7304348,0.7564935,0.7272727
"CHEMBL2363561",0.3062201,0.5590909,0.6625
"CHEMBL2363771",0.8733333,0.6845238,0.6851852
"CHEMBL2363238",0.496732,0.6333333,0.5958333
"CHEMBL1613904",0.5520186,0.5669856,0.7282913
"CHEMBL2363507",0.5925926,0.556213,0.512605
"CHEMBL2363727",0.4791667,0.6578947,0.7122807
"CHEMBL2363480",0.4903846,0.4875,0.5462185
"CHEMBL2363187",0.6086957,0.6956522,0.6026786
"CHEMBL2363659",0.6025641,0.6916667,0.5714286
"CHEMBL2363327",0.6617647,0.6,0.5357143
"CHEMBL2363154",0.5885417,0.3658537,0.516129
"CHEMBL2363469",0.5488722,0.5789474,0.5428571
"CHEMBL2363275",0.6242424,0.6517857,0.7166667
"CHEMBL2363248",0.6764706,0.6378205,0.4714286
"CHEMBL2363374",0.735119,0.6979167,0.6778846
"CHEMBL2363397",0.4272727,0.5895062,0.5940171
"CHEMBL2363811",0.6153846,0.5965517,0.6611111
"CHEMBL2363208",0.4814815,0.5166667,0.4555556
"CHEMBL2363212",0.5679012,0.625,0.57
"CHEMBL2363373",0.6187291,0.5486111,0.4841629
"CHEMBL2363657",0.4545455,0.5897436,0.5789474
"CHEMBL2363160",0.6458333,0.5127273,0.5526316
"CHEMBL2363846",0.7066667,0.5326087,0.59375
"CHEMBL3215276",0.6527778,0.5263158,0.9473684
"CHEMBL2363740",0.7897727,0.7839506,0.7310606
"CHEMBL2363218",0.5913313,0.60625,0.6203704
"CHEMBL2363224",0.5595238,0.5911765,0.4912281
"CHEMBL2363529",0.7155556,0.5969697,0.6333333
"CHEMBL2363713",0.3928571,0.5544872,0.625
"CHEMBL2363820",0.4756944,0.6157895,0.4786325
"CHEMBL2363314",0.7246377,0.5398551,0.7142857
"CHEMBL2363635",0.6428571,0.6945813,0.6831276
"CHEMBL2363352",0.5953177,0.5975,0.5192308
"CHEMBL2363631",0.6631944,0.6833333,0.5384615
"CHEMBL2363221",0.7836538,0.8308081,0.8722222
"CHEMBL2363178",0.6384615,0.775,0.7121212
"CHEMBL2363546",0.65625,0.6481481,0.6302521
"CHEMBL2363343",0.770751,0.8671329,0.7714286
"CHEMBL2363210",0.5347222,0.6065163,0.64
"CHEMBL2363452",0.7236842,0.6555184,0.5639098
"CHEMBL2363171",0.662037,0.546875,0.5458937
"CHEMBL2363445",0.7022059,0.6714286,0.5692308
"CHEMBL2363319",0.6296296,0.5930521,0.6717172
"CHEMBL2363559",0.6367521,0.7136752,0.6423611
"CHEMBL2363796",0.7058824,0.675,0.5592593
"CHEMBL2363214",0.4852941,0.6210526,0.6205357
"CHEMBL2363377",0.5059524,0.5913313,0.3529412
"CHEMBL2363370",0.6766667,0.6634615,0.5821429
"CHEMBL2363454",0.5902256,0.6849817,0.6407407
"CHEMBL1614231",0.5347222,0.3933333,0.5729167
"CHEMBL2363425",0.7593985,0.6969697,0.5980392
"CHEMBL2363831",0.7666667,0.7777778,0.7
