"","fold0","fold1","fold2"
"CHEMBL3215132",0.5405405405,0.51875,0.4301075269
"CHEMBL1614267",0.5928571429,0.4722222222,0.4628099174
"CHEMBL2363277",0.5714285714,0.5620915033,0.8047619048
"CHEMBL3111192",0.7214285714,0.5141242938,0
"CHEMBL3111198",0.8669354839,0.6115196078,0.6666666667
"CHEMBL2363153",0.387755102,0.5766666667,0.7426900585
"CHEMBL2363197",0.5833333333,0.75,0.6931818182
"CHEMBL2363371",0.6118421053,0.5375,0.59
"CHEMBL2363734",0.6868686869,0.6324786325,0.8470588235
"CHEMBL1614478",0.6476190476,0.4285714286,0.7259259259
"CHEMBL2363336",0.6111111111,0.5930735931,0.5340909091
"CHEMBL3111195",0.775862069,0.6988795518,0.125
"CHEMBL2363278",0.6125,0.7467105263,0.609375
"CHEMBL2363351",0.5588235294,0.4416666667,0.6274509804
"CHEMBL2363391",0.6315789474,0.6909090909,0.6386554622
"CHEMBL2363326",0.75,0.5068181818,0.7352941176
"CHEMBL2363328",0.7037037037,0.6138888889,0.6111111111
"CHEMBL2363330",0.7070707071,0.5858585859,0.7455357143
"CHEMBL2363364",0.6206896552,0.5236363636,0.5041322314
"CHEMBL2363333",0.5818181818,0.5014005602,0.8392156863
"CHEMBL2363148",0.6161616162,0.7065217391,0.5165289256
"CHEMBL2363264",0.7182539683,0.5714285714,0.503968254
"CHEMBL2363283",0.5795454545,0.4392156863,0.6535947712
"CHEMBL2363660",0.5481481481,0.5048309179,0.6095238095
"CHEMBL2363307",0.6647727273,0.5164473684,0.4166666667
"CHEMBL2363247",0.7121212121,0.6444444444,0.6025641026
"CHEMBL2363465",0.7198067633,0.5654761905,0.715
"CHEMBL2363225",0.6428571429,0.4395604396,0.6720647773
"CHEMBL2363468",0.72,0.5673076923,0.5885167464
"CHEMBL2114826",0.4770833333,0.6717948718,0.5349794239
"CHEMBL3215266",0.5509433962,0.7391304348,0.2828282828
"CHEMBL2363731",0.5594405594,0.6545454545,0.5693779904
"CHEMBL1614479",0.887755102,0.7619047619,0.6296296296
"CHEMBL3214782",0.4479638009,0.3467741935,0.3148148148
"CHEMBL1614273",0.6111111111,0.5420689655,0.4215686275
"CHEMBL1794400",0.662037037,0.65,0.6964285714
"CHEMBL2363728",0.6008403361,0.6096491228,0.4666666667
"CHEMBL2363568",0.6291666667,0.5425101215,0.5795454545
"CHEMBL2363353",0.6199095023,0.5777777778,0.6477732794
"CHEMBL2363230",0.4318181818,0.5,0.4074074074
"CHEMBL1670561",0.5294117647,0.8076923077,0.7586206897
"CHEMBL1614518",0.4296296296,0.5483091787,0.5111111111
"CHEMBL2363739",0.5263157895,0.4912280702,0.5808080808
"CHEMBL2363558",0.7083333333,0.6306818182,0.7142857143
"CHEMBL2363322",0.6954545455,0.512345679,0.7438016529
"CHEMBL2363753",0.5952380952,0.485380117,0.5892857143
"CHEMBL2363348",0.6772727273,0.6614583333,0.6720647773
"CHEMBL1614321",0.5362318841,0.4466338259,0.4933333333
"CHEMBL2363337",0.7733333333,0.6722222222,0.57
"CHEMBL2363228",0.7527472527,0.6717948718,0.7142857143
"CHEMBL2363504",0.5951417004,0.5775,0.6176470588
"CHEMBL2363664",0.5757575758,0.6923076923,0.6791666667
"CHEMBL2363269",0.5418181818,0.3556149733,0.5803571429
"CHEMBL1613893",0.8137755102,0.7204968944,0.5555555556
"CHEMBL1614345",0.5769230769,0.5659722222,0.640625
"CHEMBL2363442",0.6374269006,0.6234817814,0.6111111111
"CHEMBL2363317",0.5991902834,0.6071428571,0.7098214286
"CHEMBL2363432",0.5375,0.6655518395,0.6470588235
"CHEMBL1614376",0.59375,0.3363636364,0.6129032258
"CHEMBL2363403",0.5112781955,0.5105820106,0.6461538462
"CHEMBL1614355",0.8484848485,1,0.3333333333
"CHEMBL2363593",0.5454545455,0.5740740741,0.6844919786
"CHEMBL2363414",0.6507177033,0.4529411765,0.625
"CHEMBL1614226",0.8306451613,0.7510822511,0.5432692308
"CHEMBL2363444",0.6507936508,0.4722222222,0.8214285714
"CHEMBL1738246",0.5795454545,0.5781818182,0.5823754789
"CHEMBL2363697",0.7090909091,0.6307692308,0.8011695906
"CHEMBL2363725",0.6274509804,0.515625,0.7185185185
"CHEMBL2363572",0.7012987013,0.6357142857,0.6709401709
"CHEMBL2363189",0.6085526316,0.6063492063,0.4907407407
"CHEMBL2363799",0.7449392713,0.6363636364,0.6238095238
"CHEMBL2363628",0.6077586207,0.5634920635,0.5128205128
"CHEMBL2363489",0.6058823529,0.6121794872,0.5722222222
"CHEMBL2363426",0.6047619048,0.5708333333,0.6153846154
"CHEMBL1738575",0.6323529412,0.7476190476,0.6229086229
"CHEMBL2363836",0.6090909091,0.4824561404,0.6882591093
"CHEMBL2363789",0.6253869969,0.6801242236,0.6971153846
"CHEMBL2363553",0.7058823529,0.5520833333,0.521978022
"CHEMBL2363332",0.5386904762,0.4922600619,0.60546875
"CHEMBL1614308",0.596875,0.5619967794,0.4674922601
"CHEMBL2363809",0.7380952381,0.5512820513,0.3896103896
"CHEMBL2363207",0.7572016461,0.728,0.8111111111
"CHEMBL2114827",0.4,0.2015503876,0.3720930233
"CHEMBL1964046",0.6696969697,0.4897959184,0.4761904762
"CHEMBL1614462",0.5819397993,0.4053254438,0.3986928105
"CHEMBL2363671",0.6184210526,0.744,0.6777777778
