"","fold0","fold1","fold2"
"CHEMBL1614267",0.6071428571,0.6481481481,0.632231405
"CHEMBL2363277",0.6696428571,0.7091503268,0.7142857143
"CHEMBL3111192",0.5785714286,0.3615819209,0.6
"CHEMBL3111198",0.7620967742,0.8039215686,0.7777777778
"CHEMBL2363153",0.6462585034,0.6133333333,0.6959064327
"CHEMBL2363197",0.5555555556,0.6845238095,0.8409090909
"CHEMBL2363371",0.6907894737,0.5875,0.585
"CHEMBL2363734",0.7676767677,0.7008547009,0.5882352941
"CHEMBL1614478",0.619047619,0.6026785714,0.7925925926
"CHEMBL2363336",0.6388888889,0.8051948052,0.6590909091
"CHEMBL3111195",0.7344827586,0.6358543417,0.5
"CHEMBL2363278",0.7041666667,0.7072368421,0.63671875
"CHEMBL2363351",0.6058823529,0.6041666667,0.5245098039
"CHEMBL2363391",0.6558704453,0.7303030303,0.6596638655
"CHEMBL2363326",0.6625,0.6068181818,0.5110294118
"CHEMBL2363328",0.5777777778,0.7055555556,0.6944444444
"CHEMBL2363330",0.6818181818,0.7424242424,0.5714285714
"CHEMBL2363364",0.6810344828,0.6509090909,0.6115702479
"CHEMBL2363333",0.6848484848,0.6218487395,0.7411764706
"CHEMBL2363148",0.6717171717,0.7210144928,0.5165289256
"CHEMBL2363264",0.6746031746,0.6785714286,0.619047619
"CHEMBL2363283",0.5625,0.537254902,0.5032679739
"CHEMBL2363660",0.6333333333,0.61352657,0.6666666667
"CHEMBL2363307",0.6079545455,0.6776315789,0.5641025641
"CHEMBL2363247",0.6717171717,0.8185185185,0.6666666667
"CHEMBL2363465",0.6231884058,0.7113095238,0.69
"CHEMBL2363225",0.5428571429,0.6593406593,0.7530364372
"CHEMBL2363468",0.644,0.5897435897,0.7081339713
"CHEMBL2114826",0.65,0.7435897436,0.6186556927
"CHEMBL3215266",0.4,0.884057971,0.202020202
"CHEMBL2363731",0.4125874126,0.5963636364,0.5406698565
"CHEMBL1614479",0.7551020408,1,0.1111111111
"CHEMBL3214782",0.6131221719,0.3467741935,0.6388888889
"CHEMBL1614273",0.65,0.5889655172,0.4346405229
"CHEMBL1794400",0.8425925926,0.728,0.7351190476
"CHEMBL2363728",0.6092436975,0.7302631579,0.6125
"CHEMBL2363568",0.5916666667,0.7287449393,0.7329545455
"CHEMBL2363353",0.6561085973,0.7555555556,0.7206477733
"CHEMBL2363230",0.5681818182,0.6307692308,0.4761904762
"CHEMBL1670561",0.8235294118,0.6653846154,0.684729064
"CHEMBL1614518",0.4518518519,0.5314009662,0.5777777778
"CHEMBL2363739",0.5587044534,0.4678362573,0.5202020202
"CHEMBL2363558",0.6208333333,0.6704545455,0.7095238095
"CHEMBL2363322",0.6545454545,0.6049382716,0.7272727273
"CHEMBL2363753",0.6468253968,0.6988304094,0.5178571429
"CHEMBL2363348",0.5772727273,0.625,0.6599190283
"CHEMBL1614321",0.4830917874,0.4449917898,0.4366666667
"CHEMBL2363337",0.6933333333,0.6472222222,0.74
"CHEMBL2363228",0.7472527473,0.8564102564,0.7582417582
"CHEMBL2363504",0.5708502024,0.73,0.6078431373
"CHEMBL2363664",0.6493506494,0.7666666667,0.7583333333
"CHEMBL2363269",0.6181818182,0.6363636364,0.4910714286
"CHEMBL1613893",0.9158163265,0.900621118,0.6455026455
"CHEMBL1614345",0.5576923077,0.6145833333,0.64375
"CHEMBL2363442",0.649122807,0.6113360324,0.7272727273
"CHEMBL2363317",0.7287449393,0.7351190476,0.7589285714
"CHEMBL2363432",0.6208333333,0.6856187291,0.7098039216
"CHEMBL1614376",0.1875,0.2909090909,0.4193548387
"CHEMBL2363403",0.5939849624,0.5952380952,0.6461538462
"CHEMBL1614355",0.9696969697,0.8421052632,0.8333333333
"CHEMBL2363593",0.5050505051,0.4675925926,0.4652406417
"CHEMBL2363414",0.5598086124,0.6058823529,0.5208333333
"CHEMBL1614226",0.6693548387,0.6904761905,0.7451923077
"CHEMBL2363444",0.5555555556,0.6031746032,0.619047619
"CHEMBL1738246",1,0.4872727273,0.8237547893
"CHEMBL2363697",0.75,0.6923076923,0.6315789474
"CHEMBL2363725",0.591503268,0.665625,0.7037037037
"CHEMBL2363572",0.6753246753,0.780952381,0.764957265
"CHEMBL2363189",0.6184210526,0.6793650794,0.6111111111
"CHEMBL2363799",0.6518218623,0.6931818182,0.6619047619
"CHEMBL2363628",0.6120689655,0.6666666667,0.5833333333
"CHEMBL2363489",0.5823529412,0.5833333333,0.5444444444
"CHEMBL2363426",0.6619047619,0.6,0.6538461538
"CHEMBL1738575",0.7735294118,0.7238095238,0.694980695
"CHEMBL2363836",0.5454545455,0.6315789474,0.6923076923
"CHEMBL2363789",0.653250774,0.5124223602,0.7692307692
"CHEMBL2363553",0.7182662539,0.6354166667,0.7692307692
"CHEMBL2363332",0.5714285714,0.6470588235,0.734375
"CHEMBL1614308",0.70625,0.6054750403,0.5913312693
"CHEMBL2363809",0.7,0.6102564103,0.6017316017
"CHEMBL2363207",0.6666666667,0.812,0.7185185185
"CHEMBL2114827",0.6285714286,0.6124031008,0.3372093023
"CHEMBL1964046",0.6181818182,0.6836734694,0.5238095238
"CHEMBL1614462",0.5284280936,0.3343195266,0.4199346405
"CHEMBL2363671",0.5131578947,0.724,0.6555555556
"CHEMBL2363290",0.7094017094,0.7666666667,0.6622807018
"CHEMBL2363459",0.8611111111,0.6221590909,0.6759259259
"CHEMBL2363611",0.6285714286,0.6517857143,0.7857142857
"CHEMBL2363743",0.69140625,0.7232142857,0.7013888889
"CHEMBL1613821",0.6307692308,0.8222222222,0.5307017544
"CHEMBL2363341",0.6025641026,0.7304075235,0.6181818182
"CHEMBL1614465",0.748015873,0.625,0.7386363636
"CHEMBL1614083",0.5869565217,0.6,0.5267857143
"CHEMBL2363366",0.671875,0.6628787879,0.5428571429
"CHEMBL2363766",0.8095238095,0.7652173913,0.6233766234
"CHEMBL2363464",0.7445652174,0.68,0.6650717703
"CHEMBL1963899",0.6964285714,0.5219941349,0.5876623377
"CHEMBL3214801",0.7402597403,0.6726190476,0.6494252874
"CHEMBL1614512",0.7294372294,0.5765550239,0.6948717949
"CHEMBL648337",0.7555555556,0.8846153846,0.9151785714
"CHEMBL2363213",0.65,0.5769230769,0.5733333333
"CHEMBL2363556",0.7692307692,0.5735294118,0.5919117647
"CHEMBL2363142",0.5285714286,0.5664335664,0.5882352941
"CHEMBL2363788",0.6235294118,0.7817460317,0.63671875
"CHEMBL2363560",0.7030075188,0.6852941176,0.6519607843
"CHEMBL2155446",1,0.9666666667,0.9858156028
"CHEMBL2363790",0.52734375,0.73,0.5902255639
"CHEMBL2363481",0.67,0.7902097902,0.7473684211
"CHEMBL2114715",0.7613636364,0.4181818182,0.6255144033
"CHEMBL2363433",0.575,0.6428571429,0.7244444444
"CHEMBL2363609",0.7058823529,0.6797385621,0.6490384615
"CHEMBL3214965",0.6111111111,0.5601851852,0.6629570747
"CHEMBL1169087",0.9426523297,0.875,1
"CHEMBL3214907",0.4381270903,0.6162280702,0.4754901961
"CHEMBL687330",0.9375,0.9666666667,1
"CHEMBL1614008",0.7741935484,0.7136842105,0.6666666667
"CHEMBL2363324",0.5909090909,0.6205533597,0.6130434783
"CHEMBL2363185",0.6397058824,0.5854341737,0.6680672269
"CHEMBL2363220",0.6818181818,0.7852941176,0.5845588235
"CHEMBL2363555",0.604743083,0.6894409938,0.7509881423
"CHEMBL2363437",0.55,0.6394557823,0.6845238095
"CHEMBL2363243",0.7598684211,0.7254901961,0.7104072398
"CHEMBL2363612",0.5954545455,0.6388888889,0.5561497326
"CHEMBL2363140",0.7766666667,0.7738095238,0.7850877193
"CHEMBL3215216",0.6571428571,0.7558139535,0.6411764706
"CHEMBL2363239",0.626984127,0.7636363636,0.6822916667
"CHEMBL2363434",0.6952380952,0.65,0.7301587302
"CHEMBL2114717",0.4193548387,0.4662698413,0.7287356322
"CHEMBL2363688",0.5467980296,0.7916666667,0.6367521368
"CHEMBL2363152",0.7583333333,0.6333333333,0.7588235294
"CHEMBL1738040",0.4675324675,0.3948051948,0.4446529081
"CHEMBL2363141",0.6517857143,0.8494623656,0.7142857143
"CHEMBL2363803",0.7208333333,0.7619047619,0.6814814815
"CHEMBL2363623",0.5363636364,0.7899408284,0.7732793522
"CHEMBL2363211",0.5801282051,0.7222222222,0.7013888889
"CHEMBL2363594",0.4924242424,0.6547619048,0.660130719
"CHEMBL2363236",0.6296296296,0.8740740741,0.7056277056
"CHEMBL2363549",0.6590909091,0.7037037037,0.7416666667
"CHEMBL2363387",0.6228956229,0.7586206897,0.7246376812
"CHEMBL2363180",0.5353846154,0.7095588235,0.7565217391
"CHEMBL2363577",0.5657894737,0.6804511278,0.6357142857
"CHEMBL2363252",0.5166666667,0.591503268,0.7058823529
"CHEMBL2363630",0.6925925926,0.7368421053,0.6714285714
"CHEMBL2363216",0.7162629758,0.6565096953,0.6666666667
"CHEMBL2363535",0.7368421053,0.7089783282,0.625
"CHEMBL2363368",0.6865079365,0.5986842105,0.475308642
"CHEMBL2363618",0.7291666667,0.7067669173,0.6734693878
"CHEMBL2363774",0.5689655172,0.5873015873,0.7053140097
"CHEMBL1614503",0.5035842294,0.5658436214,0.6464646465
"CHEMBL2363389",0.6964285714,0.7391304348,0.6156862745
"CHEMBL2363477",0.6944444444,0.6783216783,0.7684210526
"CHEMBL2363834",0.619047619,0.7840909091,0.6228070175
"CHEMBL1794367",0.8642857143,0.8147058824,0.8705882353
"CHEMBL2363440",0.6666666667,0.7803030303,0.6714285714
"CHEMBL2363363",0.6166666667,0.6177285319,0.5708333333
"CHEMBL2363369",0.6096491228,0.6215277778,0.5041322314
"CHEMBL2363435",0.7636363636,0.7575757576,0.75
"CHEMBL2363223",0.5320512821,0.6412698413,0.7754010695
"CHEMBL2363851",0.7160493827,0.8125,0.7142857143
"CHEMBL2363575",0.6823529412,0.6952908587,0.6722689076
"CHEMBL2363443",0.7222222222,0.6944444444,0.6488095238
"CHEMBL2363273",0.7916666667,0.5151515152,0.5777777778
"CHEMBL2363655",0.4743589744,0.5471014493,0.6951871658
"CHEMBL2363242",0.6888888889,0.7222222222,0.51875
"CHEMBL2363367",0.5391304348,0.7435064935,0.5578512397
"CHEMBL2363561",0.6842105263,0.6136363636,0.68125
"CHEMBL2363771",0.71,0.8660714286,0.6990740741
"CHEMBL2363238",0.5882352941,0.6555555556,0.6666666667
"CHEMBL1613904",0.6350931677,0.6220095694,0.6162464986
"CHEMBL2363507",0.6388888889,0.6656804734,0.6134453782
"CHEMBL2363727",0.5572916667,0.7255639098,0.750877193
"CHEMBL2363480",0.5913461538,0.615625,0.6092436975
"CHEMBL2363187",0.6391304348,0.7453416149,0.5178571429
"CHEMBL2363659",0.6752136752,0.7708333333,0.6848739496
"CHEMBL2363327",0.637254902,0.7,0.6683673469
"CHEMBL2363154",0.4479166667,0.2804878049,0.5241935484
"CHEMBL2363469",0.6541353383,0.6871345029,0.6380952381
"CHEMBL2363275",0.6696969697,0.7261904762,0.6208333333
"CHEMBL2363248",0.5882352941,0.7307692308,0.6333333333
"CHEMBL2363374",0.6488095238,0.75,0.7355769231
"CHEMBL2363397",0.6681818182,0.6728395062,0.6923076923
"CHEMBL2363811",0.5817307692,0.7517241379,0.7833333333
"CHEMBL2363208",0.6878306878,0.6104166667,0.6166666667
"CHEMBL2363212",0.5956790123,0.7777777778,0.56
"CHEMBL2363373",0.5585284281,0.7430555556,0.5475113122
"CHEMBL2363657",0.5340909091,0.5457875458,0.5506072874
"CHEMBL2363160",0.5125,0.6363636364,0.5578947368
"CHEMBL2363846",0.6755555556,0.6630434783,0.609375
"CHEMBL3215276",0.7430555556,0.7763157895,0.8815789474
"CHEMBL2363740",0.7840909091,0.8240740741,0.7348484848
"CHEMBL2363218",0.653250774,0.6375,0.6851851852
"CHEMBL2363224",0.6468253968,0.6735294118,0.5219298246
"CHEMBL2363529",0.68,0.7242424242,0.5904761905
"CHEMBL2363713",0.5714285714,0.6570512821,0.6375
"CHEMBL2363820",0.5416666667,0.6131578947,0.5384615385
"CHEMBL2363314",0.7427536232,0.6050724638,0.70995671
"CHEMBL2363635",0.6530612245,0.6600985222,0.7695473251
"CHEMBL2363352",0.5719063545,0.635,0.7051282051
"CHEMBL2363631",0.6805555556,0.7458333333,0.7743589744
"CHEMBL2363221",0.6442307692,0.7954545455,0.7555555556
"CHEMBL2363178",0.6423076923,0.845,0.7171717172
"CHEMBL2363546",0.6319444444,0.7380952381,0.7016806723
"CHEMBL2363343",0.7035573123,0.9300699301,0.7666666667
"CHEMBL2363210",0.5798611111,0.664160401,0.6444444444
"CHEMBL2363452",0.5526315789,0.7190635452,0.5977443609
"CHEMBL2363171",0.7037037037,0.5989583333,0.5217391304
"CHEMBL2363445",0.6654411765,0.7285714286,0.7384615385
"CHEMBL2363319",0.6080246914,0.6799007444,0.6262626263
"CHEMBL2363559",0.6324786325,0.7905982906,0.6909722222
"CHEMBL2363796",0.6923076923,0.6875,0.5851851852
"CHEMBL2363214",0.6213235294,0.7298245614,0.7098214286
"CHEMBL2363377",0.6101190476,0.572755418,0.4764705882
"CHEMBL2363370",0.56,0.8493589744,0.5642857143
"CHEMBL2363454",0.6503759398,0.7472527473,0.662962963
"CHEMBL1614231",0.5734126984,0.4833333333,0.5694444444
"CHEMBL2363425",0.7368421053,0.6727272727,0.681372549
"CHEMBL2363831",0.6875,0.8622222222,0.5736842105
"CHEMBL1614216",0.6846846847,0.6462324393,0.6088435374
"CHEMBL2363644",0.7023809524,0.4980842912,0.6534090909
"CHEMBL2363166",0.6027777778,0.8111888112,0.733974359
"CHEMBL2363446",0.6323529412,0.775,0.6787330317
"CHEMBL2363470",0.537037037,0.6897959184,0.6041666667
"CHEMBL1613814",0.7860869565,0.8735632184,0.7634615385
"CHEMBL2363645",0.6233766234,0.7527472527,0.6715686275
"CHEMBL1738021",0.6857142857,0.5465116279,0.59375
"CHEMBL2363516",0.5927272727,0.8213166144,0.7681818182
"CHEMBL1614147",0.5348837209,0.48,0.8666666667
"CHEMBL2363492",0.5357142857,0.9122807018,0.7513227513
"CHEMBL2363696",0.5490196078,0.7142857143,0.6547619048
"CHEMBL1614486",0.6986607143,0.5847107438,0.6888888889
"CHEMBL2363847",0.7237762238,0.724340176,0.7407407407
"CHEMBL2363719",0.5785714286,0.5952380952,0.3939393939
"CHEMBL2363634",0.6625,0.7526315789,0.7666666667
"CHEMBL2363569",0.5684210526,0.6731301939,0.5416666667
"CHEMBL2363294",0.6350877193,0.6333333333,0.5848214286
"CHEMBL2363616",0.6205882353,0.7112299465,0.6260504202
"CHEMBL2363601",0.6470588235,0.7454545455,0.6473214286
"CHEMBL2363514",0.7288888889,0.875,0.764957265
"CHEMBL2363748",0.6,0.7037037037,0.6423076923
"CHEMBL2363747",0.6130952381,0.7414772727,0.7307692308
"CHEMBL2363457",0.7777777778,0.6397515528,0.6964285714
"CHEMBL1613949",0.8388888889,0.6886446886,0.7304075235
"CHEMBL2363767",0.6165413534,0.731292517,0.6703296703
"CHEMBL2363793",0.6461538462,0.8916083916,0.6352941176
"CHEMBL2363692",0.4666666667,0.5882352941,0.7589285714
"CHEMBL2363639",0.75,0.7851662404,0.6433823529
"CHEMBL2363421",0.66359447,0.6358974359,0.6956521739
"CHEMBL2363313",0.675,0.7053571429,0.6753246753
"CHEMBL2363798",0.6454545455,0.85,0.7285067873
"CHEMBL2363272",0.6583333333,0.6864035088,0.6285714286
"CHEMBL2363447",0.6080586081,0.782967033,0.6590909091
"CHEMBL2363749",0.6029411765,0.7708978328,0.5989583333
"CHEMBL1738438",0.5909090909,0.8604651163,0
"CHEMBL2114847",0.6402439024,0.5755555556,0.5882352941
"CHEMBL2363388",0.5263157895,0.6727272727,0.5113122172
"CHEMBL1614035",0.9047619048,0.9206349206,0.9090909091
"CHEMBL2363830",0.5263157895,0.7083333333,0.7045454545
"CHEMBL2363255",0.6608695652,0.806122449,0.5722222222
"CHEMBL2363562",0.5953947368,0.7213622291,0.75
"CHEMBL2363335",0.6080586081,0.7951388889,0.6018518519
"CHEMBL2363338",0.503030303,0.6237373737,0.6285714286
"CHEMBL1614395",0.5952380952,0.4651515152,0.3296703297
"CHEMBL2363334",0.6038647343,0.7192982456,0.7291666667
"CHEMBL1614007",0.7405405405,0.568627451,0.6606060606
"CHEMBL1614049",0.554200542,0.5695600476,0.7088122605
"CHEMBL1034535",0.9444444444,1,0.3913043478
"CHEMBL1613853",0.623046875,0.4327122153,0.4705882353
"CHEMBL1614138",0.7291666667,0.6583333333,0.7857142857
"CHEMBL2363814",0.6842105263,0.8774703557,0.71
"CHEMBL2363245",0.7227272727,0.7651821862,0.7428571429
"CHEMBL2363349",0.630952381,0.7289377289,0.587962963
"CHEMBL2363794",0.6875,0.8047337278,0.725
